benchmark,trial,size,latency_us
osu-micro-nccl,3,16777216,225.02
osu-micro-nccl,3,33554432,381.49
osu-micro-nccl,3,67108864,614.57
osu-micro-native,1,4,40.06
osu-micro-native,1,8,39.39
osu-micro-native,1,16,38.58
osu-micro-native,1,32,40.69
osu-micro-native,1,64,37.63
osu-micro-native,1,128,37.72
osu-micro-native,1,256,38.85
osu-micro-native,1,512,39.91
osu-micro-native,1,1024,41.44
osu-micro-native,1,2048,43.21
osu-micro-native,1,4096,45.28
osu-micro-native,1,8192,50.45
osu-micro-native,1,16384,66.11
osu-micro-native,1,32768,103.0
osu-micro-native,1,65536,150.13
osu-micro-native,1,131072,234.85
osu-micro-native,1,262144,420.17
osu-micro-native,1,524288,783.99
osu-micro-native,1,1048576,1526.06
osu-micro-native,1,2097152,1752.15
osu-micro-native,1,4194304,3185.25
osu-micro-native,1,8388608,4520.91
osu-micro-native,1,16777216,8190.29
osu-micro-native,1,33554432,21486.11
osu-micro-native,1,67108864,45301.05
osu-micro-native,2,4,39.63
osu-micro-native,2,8,37.89
osu-micro-native,2,16,35.74
osu-micro-native,2,32,35.53
osu-micro-native,2,64,35.85
osu-micro-native,2,128,36.21
osu-micro-native,2,256,36.62
osu-micro-native,2,512,37.2
osu-micro-native,2,1024,38.86
osu-micro-native,2,2048,39.72
osu-micro-native,2,4096,42.37
osu-micro-native,2,8192,47.02
osu-micro-native,2,16384,60.98
osu-micro-native,2,32768,106.84
osu-micro-native,2,65536,158.31
osu-micro-native,2,131072,244.07
osu-micro-native,2,262144,438.88
osu-micro-native,2,524288,805.67
osu-micro-native,2,1048576,1677.34
osu-micro-native,2,2097152,1335.33
osu-micro-native,2,4194304,2003.01
osu-micro-native,2,8388608,3343.65
osu-micro-native,2,16777216,6307.2
osu-micro-native,2,33554432,19312.86
osu-micro-native,2,67108864,38715.13
osu-micro-native,3,4,37.4
osu-micro-native,3,8,35.53
osu-micro-native,3,16,33.05
osu-micro-native,3,32,37.43
osu-micro-native,3,64,37.48
osu-micro-native,3,128,37.57
osu-micro-native,3,256,38.93
osu-micro-native,3,512,39.49
osu-micro-native,3,1024,41.07
osu-micro-native,3,2048,42.6
osu-micro-native,3,4096,45.65
osu-micro-native,3,8192,49.51
osu-micro-native,3,16384,63.38
osu-micro-native,3,32768,97.41
osu-micro-native,3,65536,148.04
osu-micro-native,3,131072,218.89
osu-micro-native,3,262144,396.95
osu-micro-native,3,524288,721.87
osu-micro-native,3,1048576,1434.28
osu-micro-native,3,2097152,1478.28
osu-micro-native,3,4194304,2899.04
osu-micro-native,3,8388608,5232.79
osu-micro-native,3,16777216,10678.74
osu-micro-native,3,33554432,26746.94
osu-micro-native,3,67108864,55019.86
osu-micro-native-nodevice,1,4,127.61
osu-micro-native-nodevice,1,8,109.24
osu-micro-native-nodevice,1,16,91.77
osu-micro-native-nodevice,1,32,110.66
osu-micro-native-nodevice,1,64,110.49
osu-micro-native-nodevice,1,128,117.95
osu-micro-native-nodevice,1,256,143.7
osu-micro-native-nodevice,1,512,150.54
osu-micro-native-nodevice,1,1024,160.61
osu-micro-native-nodevice,1,2048,174.4
osu-micro-native-nodevice,1,4096,200.22
osu-micro-native-nodevice,1,8192,226.19
osu-micro-native-nodevice,1,16384,212.74
osu-micro-native-nodevice,1,32768,227.84
osu-micro-native-nodevice,1,65536,251.14
osu-micro-native-nodevice,1,131072,286.48
osu-micro-native-nodevice,1,262144,371.08
osu-micro-native-nodevice,1,524288,542.25
osu-micro-native-nodevice,1,1048576,749.39
osu-micro-native-nodevice,1,2097152,1322.85
osu-micro-native-nodevice,1,4194304,2271.13
osu-micro-native-nodevice,1,8388608,4532.88
osu-micro-native-nodevice,1,16777216,10155.24
osu-micro-native-nodevice,1,33554432,27923.15
osu-micro-native-nodevice,1,67108864,51215.89
osu-micro-native-nodevice,2,4,99.69
osu-micro-native-nodevice,2,8,99.12
osu-micro-native-nodevice,2,16,95.43
osu-micro-native-nodevice,2,32,117.25
osu-micro-native-nodevice,2,64,117.41
osu-micro-native-nodevice,2,128,122.95
osu-micro-native-nodevice,2,256,145.44
osu-micro-native-nodevice,2,512,153.46
osu-micro-native-nodevice,2,1024,164.17
osu-micro-native-nodevice,2,2048,180.38
osu-micro-native-nodevice,2,4096,205.55
osu-micro-native-nodevice,2,8192,231.18
osu-micro-native-nodevice,2,16384,223.85
osu-micro-native-nodevice,2,32768,233.49
osu-micro-native-nodevice,2,65536,256.04
osu-micro-native-nodevice,2,131072,288.14
osu-micro-native-nodevice,2,262144,354.92
osu-micro-native-nodevice,2,524288,456.98
osu-micro-native-nodevice,2,1048576,674.64
osu-micro-native-nodevice,2,2097152,1082.9
osu-micro-native-nodevice,2,4194304,1953.55
osu-micro-native-nodevice,2,8388608,3405.92
osu-micro-native-nodevice,2,16777216,6813.78
osu-micro-native-nodevice,2,33554432,19815.99
osu-micro-native-nodevice,2,67108864,41374.48
osu-micro-native-nodevice,3,4,105.53
osu-micro-native-nodevice,3,8,97.0
osu-micro-native-nodevice,3,16,91.94
osu-micro-native-nodevice,3,32,111.9
osu-micro-native-nodevice,3,64,112.78
osu-micro-native-nodevice,3,128,118.98
osu-micro-native-nodevice,3,256,140.77
osu-micro-native-nodevice,3,512,150.86
osu-micro-native-nodevice,3,1024,161.55
osu-micro-native-nodevice,3,2048,175.13
osu-micro-native-nodevice,3,4096,201.96
osu-micro-native-nodevice,3,8192,231.85
osu-micro-native-nodevice,3,16384,223.62
osu-micro-native-nodevice,3,32768,235.18
osu-micro-native-nodevice,3,65536,253.33
osu-micro-native-nodevice,3,131072,289.75
osu-micro-native-nodevice,3,262144,359.41
osu-micro-native-nodevice,3,524288,490.27
osu-micro-native-nodevice,3,1048576,709.12
osu-micro-native-nodevice,3,2097152,1153.3
osu-micro-native-nodevice,3,4194304,2209.37
osu-micro-native-nodevice,3,8388608,3964.36
osu-micro-native-nodevice,3,16777216,8757.28
osu-micro-native-nodevice,3,33554432,20786.8
osu-micro-native-nodevice,3,67108864,46204.79
