benchmark,trial,size,latency_us
osu-micro-ucc,3,256,60.37
osu-micro-ucc,3,512,66.26
osu-micro-ucc,3,1024,88.74
osu-micro-ucc,3,2048,73.43
osu-micro-ucc,3,4096,174.39
osu-micro-ucc,3,8192,149.83
osu-micro-ucc,3,16384,134.23
osu-micro-ucc,3,32768,127.47
osu-micro-ucc,3,65536,127.8
osu-micro-ucc,3,131072,128.91
osu-micro-ucc,3,262144,129.97
osu-micro-ucc,3,524288,152.96
osu-micro-ucc,3,1048576,144.95
osu-micro-ucc,3,2097152,177.51
osu-micro-ucc,3,4194304,179.41
osu-micro-ucc,3,8388608,240.58
osu-micro-ucc,3,16777216,328.77
osu-micro-ucc,3,33554432,508.07
osu-micro-ucc,3,67108864,891.11
osu-micro-nccl,1,4,36.44
osu-micro-nccl,1,8,33.9
osu-micro-nccl,1,16,31.92
osu-micro-nccl,1,32,32.28
osu-micro-nccl,1,64,33.38
osu-micro-nccl,1,128,37.06
osu-micro-nccl,1,256,34.86
osu-micro-nccl,1,512,33.29
osu-micro-nccl,1,1024,31.67
osu-micro-nccl,1,2048,31.98
osu-micro-nccl,1,4096,34.33
osu-micro-nccl,1,8192,31.81
osu-micro-nccl,1,16384,32.9
osu-micro-nccl,1,32768,36.34
osu-micro-nccl,1,65536,37.39
osu-micro-nccl,1,131072,37.95
osu-micro-nccl,1,262144,38.62
osu-micro-nccl,1,524288,43.84
osu-micro-nccl,1,1048576,51.18
osu-micro-nccl,1,2097152,66.41
osu-micro-nccl,1,4194304,98.63
osu-micro-nccl,1,8388608,139.68
osu-micro-nccl,1,16777216,224.82
osu-micro-nccl,1,33554432,381.5
osu-micro-nccl,1,67108864,614.63
osu-micro-nccl,2,4,31.58
osu-micro-nccl,2,8,31.61
osu-micro-nccl,2,16,31.31
osu-micro-nccl,2,32,32.22
osu-micro-nccl,2,64,33.57
osu-micro-nccl,2,128,37.18
osu-micro-nccl,2,256,35.52
osu-micro-nccl,2,512,34.14
osu-micro-nccl,2,1024,31.69
osu-micro-nccl,2,2048,31.28
osu-micro-nccl,2,4096,31.54
osu-micro-nccl,2,8192,31.95
osu-micro-nccl,2,16384,32.82
osu-micro-nccl,2,32768,36.6
osu-micro-nccl,2,65536,37.61
osu-micro-nccl,2,131072,38.13
osu-micro-nccl,2,262144,38.91
osu-micro-nccl,2,524288,43.68
osu-micro-nccl,2,1048576,51.55
osu-micro-nccl,2,2097152,66.09
osu-micro-nccl,2,4194304,91.54
osu-micro-nccl,2,8388608,140.15
osu-micro-nccl,2,16777216,224.85
osu-micro-nccl,2,33554432,381.73
osu-micro-nccl,2,67108864,614.68
osu-micro-nccl,3,4,32.96
osu-micro-nccl,3,8,31.41
osu-micro-nccl,3,16,31.36
osu-micro-nccl,3,32,31.92
osu-micro-nccl,3,64,33.45
osu-micro-nccl,3,128,36.5
osu-micro-nccl,3,256,36.15
osu-micro-nccl,3,512,35.89
osu-micro-nccl,3,1024,31.66
osu-micro-nccl,3,2048,31.16
osu-micro-nccl,3,4096,31.4
osu-micro-nccl,3,8192,31.9
osu-micro-nccl,3,16384,32.99
osu-micro-nccl,3,32768,55.41
osu-micro-nccl,3,65536,37.9
osu-micro-nccl,3,131072,37.52
osu-micro-nccl,3,262144,39.33
osu-micro-nccl,3,524288,42.5
osu-micro-nccl,3,1048576,50.95
osu-micro-nccl,3,2097152,67.18
osu-micro-nccl,3,4194304,91.46
osu-micro-nccl,3,8388608,139.44
osu-micro-nccl,3,16777216,233.38
osu-micro-nccl,3,33554432,381.32
osu-micro-nccl,3,67108864,614.53
