benchmark,trial,size,latency_us
osu-micro-ucc,1,4,48.01
osu-micro-ucc,1,8,48.19
osu-micro-ucc,1,16,41.97
osu-micro-ucc,1,32,48.24
osu-micro-ucc,1,64,61.3
osu-micro-ucc,1,128,85.61
osu-micro-ucc,1,256,61.72
osu-micro-ucc,1,512,68.79
osu-micro-ucc,1,1024,93.41
osu-micro-ucc,1,2048,77.84
osu-micro-ucc,1,4096,173.79
osu-micro-ucc,1,8192,144.42
osu-micro-ucc,1,16384,126.36
osu-micro-ucc,1,32768,128.16
osu-micro-ucc,1,65536,128.87
osu-micro-ucc,1,131072,129.88
osu-micro-ucc,1,262144,131.67
osu-micro-ucc,1,524288,135.74
osu-micro-ucc,1,1048576,143.58
osu-micro-ucc,1,2097152,156.13
osu-micro-ucc,1,4194304,180.42
osu-micro-ucc,1,8388608,225.92
osu-micro-ucc,1,16777216,327.16
osu-micro-ucc,1,33554432,526.27
osu-micro-ucc,1,67108864,915.44
osu-micro-ucc,2,4,47.93
osu-micro-ucc,2,8,47.34
osu-micro-ucc,2,16,41.22
osu-micro-ucc,2,32,48.58
osu-micro-ucc,2,64,60.64
osu-micro-ucc,2,128,85.24
osu-micro-ucc,2,256,60.73
osu-micro-ucc,2,512,66.62
osu-micro-ucc,2,1024,90.91
osu-micro-ucc,2,2048,75.7
osu-micro-ucc,2,4096,175.68
osu-micro-ucc,2,8192,144.66
osu-micro-ucc,2,16384,124.78
osu-micro-ucc,2,32768,129.79
osu-micro-ucc,2,65536,127.75
osu-micro-ucc,2,131072,128.35
osu-micro-ucc,2,262144,130.24
osu-micro-ucc,2,524288,133.63
osu-micro-ucc,2,1048576,140.14
osu-micro-ucc,2,2097152,153.98
osu-micro-ucc,2,4194304,179.76
osu-micro-ucc,2,8388608,226.2
osu-micro-ucc,2,16777216,317.56
osu-micro-ucc,2,33554432,521.75
osu-micro-ucc,2,67108864,898.86
osu-micro-ucc,3,4,46.26
osu-micro-ucc,3,8,46.67
osu-micro-ucc,3,16,40.52
osu-micro-ucc,3,32,47.47
osu-micro-ucc,3,64,58.97
osu-micro-ucc,3,128,83.7
